name,url,desc
andrewd18,github,Created the original Linux LNP installer script
amfournda,github,Contributed many Gentoo fixes
BeauBouchard,github,Maintains the current Linux LNP and lazynewbpack.com
Captain Duck,https://www.youtube.com/playlist?list=PL0sBhCMFBvPlF7wG7OH-NFQKMeCQiS8aM,Creator of a DF Tutorial series
Chanku,,Helped fix Debian compatibility issues
DaveRalph,https://github.com/DavidRalph,Contributed to old Windows launcher
Dricus,github,Created old cross-platform launcher
Dwimenor,github,Fixed distro compatibility issues
fricy,github,Maintains the MacNewbie pack and core graphics repository
joelpt,http://www.joelpt.net/quickfort/,Maintainer of Quickfort 2.x
Lethosor,github,Maintains DFHack and LNP
LucasUP,github,Created original Windows LNP
miffedmap,github,Contributed many distro compatibility fixes
mifki,github,Maintains TWBT
splintermind,github,Maintains Dwarf Therapist
PeridexisErrant,github,Maintains the current Windows Starter Pack
Pidgeot,https://bitbucket.org/Pidgeot/python-lnp/,Maintains the current (cross-platform) PyLNP launcher
runrobotrun,http://www.bay12forums.com/smf/index.php?topic=55025.0,Created Chromafort
Zweistein,http://zweistein.cz/,Created Soundsense
